filepath,object_raw,object_normalized,date_token
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.126.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.127.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.128.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.134.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.135.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.141.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.142.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.148.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.149.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.157.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.158.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.160.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.161.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.173.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.174.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.181.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.182.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.185.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.186.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.187.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.188.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.191.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.192.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.198.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.199.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.201.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.202.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.203.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.204.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.205.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.206.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.210.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.211.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.212.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.213.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.219.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.220.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.227.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.228.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.241.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.242.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.245.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.246.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.252.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.253.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.254.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.255.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.259.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.260.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.261.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.262.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.263.fits.gz,HII 2927,HII 2927,
